,cluster,pair,gene_i,gene_j,prop_this_cluster,prop_not_cluster,dist_ij_cluster,dist_ij_not_cluster,prop_diff
1,cluster1,1,14,130,0.789473684210526,0.285714285714286,8.94689956444443,-22.0108773622222,0.503759398496241
2,cluster1,2,14,1135,0.868421052631579,0.357142857142857,14.1511109888889,-27.6871777955556,0.511278195488722
3,cluster1,3,14,1493,0.921052631578947,0.395604395604396,12.0963920033333,-6.35530286777777,0.525448235974552
4,cluster1,4,14,3017,0.736842105263158,0.236263736263736,12.3275315877778,-49.9828862522222,0.500578368999422
5,cluster1,5,14,4479,0.815789473684211,0.236263736263736,7.07993595777778,-45.0231777955556,0.579525737420474
6,cluster1,6,14,5032,0.710526315789474,0.17032967032967,5.29627997555553,-46.5583481688889,0.540196645459803
7,cluster1,7,14,6522,0.657894736842105,0.137362637362637,6.48284878444444,-86.1490685655555,0.520532099479468
8,cluster1,8,14,7309,0.973684210526316,0.406593406593407,14.5757599722222,-12.6204456977778,0.567090803932909
9,cluster1,9,14,7400,0.921052631578947,0.417582417582418,15.5426454377778,-10.4255331011111,0.50347021399653
10,cluster1,10,14,8272,0.763157894736842,0.236263736263736,9.59516279888888,-38.0945931744445,0.526894158473106
11,cluster1,11,14,11529,0.763157894736842,0.236263736263736,7.82970680777779,-34.8330192288889,0.526894158473106
12,cluster1,12,14,12511,0.657894736842105,0.148351648351648,7.71015789555555,-56.5582132833333,0.509543088490457
13,cluster1,13,19,3358,0.763157894736842,0.21978021978022,2.52356570111111,-45.2179753022222,0.543377674956622
14,cluster1,14,19,11912,0.684210526315789,0.175824175824176,0.211994681111108,-47.0249615755556,0.508386350491614
15,cluster1,15,21,2544,0.710526315789474,0.181318681318681,1.31485743111111,-53.4911281911111,0.529207634470792
16,cluster1,16,21,3358,0.710526315789474,0.208791208791209,2.06623260222222,-42.4814725244444,0.501735106998265
17,cluster1,17,22,2544,0.763157894736842,0.252747252747253,3.14035199333333,-44.3720653833333,0.510410641989589
18,cluster1,18,22,11912,0.736842105263158,0.230769230769231,1.58015614444444,-35.16939599,0.506072874493927
19,cluster1,19,24,2544,0.736842105263158,0.230769230769231,1.40124179,-49.5871201922222,0.506072874493927
20,cluster1,20,26,314,0.263157894736842,0.763736263736264,-3.18166399555556,32.4380427444445,-0.500578368999422
21,cluster1,21,26,10299,0.0789473684210526,0.626373626373626,-7.73224705555556,9.76786821777779,-0.547426257952574
22,cluster1,22,32,2544,0.815789473684211,0.269230769230769,3.11184856555556,-44.5168066188889,0.546558704453441
23,cluster1,23,32,3358,0.789473684210526,0.28021978021978,3.86322373666667,-33.5071509522222,0.509253903990746
