NCBI_GeneID	Symbol	Gene_Type	SwissProt_Accessions
10	NAT2	PROTEIN_CODING	P11245
100	ADA	PROTEIN_CODING	P00813
1000	CDH2	PROTEIN_CODING	P19022
100048912	CDKN2B-AS1	ncRNA	
100124700	HOTAIR	ncRNA	
10013	HDAC6	PROTEIN_CODING	Q9UBN7
100133941	CD24	PROTEIN_CODING	P25063
10018	BCL2L11	PROTEIN_CODING	O43521
1003	CDH5	PROTEIN_CODING	P33151
100507436	MICA	PROTEIN_CODING	Q29983
10059	DNM1L	PROTEIN_CODING	O00429
10062	NR1H3	PROTEIN_CODING	Q13133
10135	NAMPT	PROTEIN_CODING	P43490
1017	CDK2	PROTEIN_CODING	P24941
1019	CDK4	PROTEIN_CODING	P11802
102	ADAM10	PROTEIN_CODING	O14672
1020	CDK5	PROTEIN_CODING	Q00535
1021	CDK6	PROTEIN_CODING	Q00534
1025	CDK9	PROTEIN_CODING	P50750
1026	CDKN1A	PROTEIN_CODING	P38936
1027	CDKN1B	PROTEIN_CODING	P46527
10273	STUB1	PROTEIN_CODING	Q9UNE7
1028	CDKN1C	PROTEIN_CODING	P49918
1029	CDKN2A	PROTEIN_CODING	P42771,Q8N726
103	ADAR	PROTEIN_CODING	P55265
1030	CDKN2B	PROTEIN_CODING	P42772
10320	IKZF1	PROTEIN_CODING	Q13422
10397	NDRG1	PROTEIN_CODING	Q92597
10399	RACK1	PROTEIN_CODING	P63244
10406	WFDC2	PROTEIN_CODING	Q14508
10413	YAP1	PROTEIN_CODING	P46937
10419	PRMT5	PROTEIN_CODING	O14744
1045	CDX2	PROTEIN_CODING	Q99626
1048	CEACAM5	PROTEIN_CODING	P06731
1050	CEBPA	PROTEIN_CODING	P49715
1051	CEBPB	PROTEIN_CODING	P17676
10599	SLCO1B1	PROTEIN_CODING	Q9Y6L6
10630	PDPN	PROTEIN_CODING	Q86YL7
10631	POSTN	PROTEIN_CODING	Q15063
10643	IGF2BP3	PROTEIN_CODING	O00425
10664	CTCF	PROTEIN_CODING	P49711
10673	TNFSF13B	PROTEIN_CODING	Q9Y275
1071	CETP	PROTEIN_CODING	P11597
1072	CFL1	PROTEIN_CODING	P23528
10763	NES	PROTEIN_CODING	P48681
107980440	LOC107980440	BIOLOGICAL_REGION	
1080	CFTR	PROTEIN_CODING	P13569
