"","Data","Cluster","Feature","MedGain","MedCover","MedFreq"
"1","TCGA RNAseq","cluster1","TAP1_X_FCGBP",0.297439121305705,0.231557759479895,0.19047619047619
"2","TCGA RNAseq","cluster1","TCEAL2_X_MYO5C",0.285562089791159,0.27595522810687,0.24
"3","TCGA RNAseq","cluster1","POSTN_X_C1QL1",0.252309393390756,0.285215877337657,0.28
"4","TCGA RNAseq","cluster1","EGFR_X_PMP2",0.0744510840965401,0.0715404974446386,0.12
"5","TCGA RNAseq","cluster1","TMSB15A_X_LXN",0.0736760741291596,0.112818154920448,0.111111111111111
"6","TCGA RNAseq","cluster1","ACSL3_X_TF",0.0710330633392761,0.110790878112914,0.1
"7","TCGA RNAseq","cluster1","CD46_X_PDGFRA",0.0662656779537477,0.0778364707818447,0.108823529411765
"8","TCGA RNAseq","cluster1","CRIM1_X_SOX11",0.0385422752418449,0.0935235063856648,0.0952380952380952
"9","TCGA RNAseq","cluster2","NDRG1_X_APLP2",0.499954737369499,0.368305342609286,0.25
"10","TCGA RNAseq","cluster2","HILPDA_X_BANF1",0.418260471965989,0.30082146146486,0.215384615384615
"11","TCGA RNAseq","cluster2","IFITM3_X_BNIP3",0.235813835284802,0.293921026767169,0.333333333333333
"12","TCGA RNAseq","cluster2","PGK1_X_CD74",0.148361618875527,0.191456932014323,0.2
"13","TCGA RNAseq","cluster2","MRFAP1L1_X_ZNF395",0.147421418749839,0.184726417603842,0.230769230769231
"14","TCGA RNAseq","cluster2","PLIN2_X_SRSF2",0.115434857583658,0.156999369255882,0.206293706293706
"15","TCGA RNAseq","cluster2","ADM_X_ARHGDIB",0.112844468055437,0.14939057904231,0.248717948717949
"16","TCGA RNAseq","cluster3","TMEM100_X_DYNLT3",0.948702315796781,0.931484500896216,0.954545454545455
"17","TCGA RNAseq","cluster3","MT1M_X_LEFTY2",0.265174594842527,0.223288153885494,0.153846153846154
"18","TCGA RNAseq","cluster3","PDPN_X_DLL3",0.216813177328215,0.214969404634357,0.16025641025641
"19","TCGA RNAseq","cluster3","EMP3_X_FERMT1",0.146298362041773,0.21596143576611,0.307692307692308
"20","TCGA RNAseq","cluster3","NNMT_X_SH3GL2",0.0683596244122646,0.0993752548428635,0.125
"21","TCGA RNAseq","cluster4","C21orf62_X_SEMA5A",0.624395126361865,0.372427209516275,0.32
"22","TCGA RNAseq","cluster4","OLIG2_X_ECM2",0.280277321987327,0.155406116736689,0.115384615384615
"23","TCGA RNAseq","cluster4","APLNR_X_PHLDA1",0.142764284773358,0.375822459332103,0.36
"24","TCGA RNAseq","cluster4","P4HA1_X_LMO3",0.0849609252835071,0.129342700567233,0.173913043478261
"25","TCGA RNAseq","cluster4","CDO1_X_SEC14L1",0.055345925980233,0.0573837190532072,0.0490430622009569
"26","TCGA RNAseq","cluster4","MAOB_X_VEGFA",0.0399541188832887,0.0633777931913592,0.0679824561403509
"27","TCGA RNAseq","cluster4","CDKN2A_X_MYC",0.0294014239594376,0.0860107215443042,0.115384615384615
"28","TCGA RNAseq","cluster4","CHI3L2_X_GPX3",0.0157917705855949,0.0511918729002345,0.0663157894736842
"29","TCGA RNAseq","cluster4","SH3BP4_X_IL13RA2",0.00920884666497843,0.0365746742903153,0.0417391304347826
"30","TCGA RNAseq","cluster4","COX6C_X_LTF",0.00668436739662482,0.0206449608993721,0.0416666666666667
"31","TCGA RNAseq","cluster4","LRRTM2_X_AMIGO2",0.00663834216187811,0.0223398219736639,0.0384615384615385
"32","TCGA RNAseq","cluster5","GULP1_X_CA10",0.668038575270308,0.45709499708183,0.423076923076923
"33","TCGA RNAseq","cluster5","C1QL1_X_LTBP1",0.121537341592366,0.202751904999789,0.217391304347826
"34","TCGA RNAseq","cluster5","SLC7A11_X_NKX2.2",0.0737507763598771,0.131411314028864,0.16
"35","TCGA RNAseq","cluster5","SOX11_X_SSPN",0.0629752684246412,0.111862482058735,0.120192307692308
"36","TCGA RNAseq","cluster5","PPIC_X_SOX10",0.0500466041922013,0.100964850049137,0.100606060606061
"37","TCGA RNAseq","cluster5","ECM2_X_GPR17",0.0398475369681745,0.0632601626463562,0.12
"38","TCGA RNAseq","cluster5","MYO5C_X_UGT8",0.0359198058978786,0.0782896995774375,0.0717703349282297
"39","TCGA RNAseq","cluster5","EGFR_X_APOD",0.0240773131452068,0.0353626988282747,0.0728438228438228
"40","TCGA RNAseq","cluster5","TMSB15A_X_EBAG9",0.0150057871141553,0.027283366076509,0.0434782608695652
"41","TCGA RNAseq","cluster5","DCX_X_LMO3",0.0139174169025407,0.0256426122677291,0.0434782608695652
"42","TCGA RNAseq","cluster5","ARAP2_X_PLPPR1",0.00721130998704055,0.0281317524297075,0.0454545454545455
