"","Top10","Cluster","Feature","MedGain","MedCover","MedFreq"
"1",1,"cluster1","ACSL3_X_RAP2A",0.246460504181077,0.18373712988685,0.14819897084048
"2",2,"cluster1","MAN1C1_X_RRBP1",0.210675219568979,0.181921249133925,0.145454545454545
"3",3,"cluster1","VAV3_X_TAGLN3",0.125043780779616,0.15291059817313,0.111111111111111
"4",4,"cluster1","DPYSL3_X_EFR3A",0.104533931569439,0.0924199912807202,0.113207547169811
"5",5,"cluster1","PLIN2_X_SDC4",0.10207670919557,0.167573387953457,0.181818181818182
"6",6,"cluster1","CRMP1_X_ASAP2",0.047501552522598,0.0656482274271906,0.0555555555555556
"7",7,"cluster1","TAP1_X_FCGBP",0.0353349565026428,0.078062932462787,0.113207547169811
"8",8,"cluster1","TMSB15A_X_MGST2",0.0163989842192703,0.0609251918736342,0.0754716981132075
"9",9,"cluster1","GAS1_X_BEX1",0.0134648300217231,0.0345713621167876,0.0683018867924528
"10",10,"cluster1","MLLT11_X_PLS3",0.00663639958635956,0.0152323898541614,0.0344827586206897
"11",1,"cluster2","RTN3_X_BNIP3",0.340166969858938,0.277064606733613,0.277777777777778
"12",2,"cluster2","DNAJB1_X_PPP1CA",0.329693696741698,0.244870612977924,0.181818181818182
"13",3,"cluster2","ZNF274_X_GDI2",0.0772680388987687,0.0665712929702155,0.071969696969697
"14",4,"cluster2","IFRD1_X_TM9SF2",0.0750590692253599,0.138444830798099,0.2
"15",5,"cluster2","PLIN2_X_YWHAZ",0.0508696548411664,0.106694183410854,0.137931034482759
"16",6,"cluster2","HILPDA_X_APLP2",0.0307622082937498,0.0607512932113339,0.0729166666666667
"17",7,"cluster2","RPS25_X_VEGFA",0.0109554028050456,0.0174926366186076,0.0303030303030303
"18",8,"cluster2","IFITM3_X_FTH1",0.00651995519260777,0.0149285175793827,0.0344827586206897
"19",9,"cluster2","ADM_X_BANF1",0.00362197472917912,0.0319451162765953,0.0281746031746032
"20",10,"cluster2","ABLIM1_X_TMEM45A",0.00258858835837269,0.0197746526980823,0.0299107142857143
"21",1,"cluster3","RBP1_X_GAB2",0.45241176868272,0.43434820215616,0.347826086956522
"22",2,"cluster3","JAK1_X_TIMP1",0.258419452098008,0.197214745268648,0.125
"23",3,"cluster3","MLLT11_X_LGALS1",0.193366499571582,0.170745680395856,0.304347826086957
"24",4,"cluster3","CLIC1_X_SERINC5",0.0585115793460487,0.0191305339416952,0.0454545454545455
"25",5,"cluster3","NUDT4_X_ADM",0.0406326800951525,0.062790092815836,0.0941558441558442
"26",6,"cluster3","UST_X_S100A13",0.0383088025479359,0.0502844151710248,0.0869565217391304
"27",7,"cluster3","EMP3_X_FERMT1",0.0376429802766224,0.035763646701728,0.0833333333333333
"28",8,"cluster3","GOLGA8A_X_DYNLT3",0.0304138310595496,0.038159233097398,0.0869565217391304
"29",9,"cluster3","ALCAM_X_ANXA2",0.0213410861542675,0.0200905490158161,0.0476190476190476
"30",10,"cluster3","BASP1_X_LGALS3",0.00708922563105876,0.0191861802155619,0.0434782608695652
"31",1,"cluster4","MAOB_X_VEGFA",0.183663385083359,0.121547539516791,0.0754716981132075
"32",2,"cluster4","APLNR_X_PHLDA1",0.183262735849001,0.204876983239205,0.177777777777778
"33",3,"cluster4","AK1_X_TRIB2",0.147278435066278,0.108539282837645,0.152173913043478
"34",4,"cluster4","PACSIN2_X_ECM2",0.124251805440199,0.160743658301974,0.163265306122449
"35",5,"cluster4","LTBP1_X_TM4SF1",0.119007238425459,0.107632733210169,0.142857142857143
"36",6,"cluster4","MTHFD2_X_EZR",0.110588889162618,0.132125329137052,0.113207547169811
"37",7,"cluster4","RARRES2_X_TRIO",0.0705126464929127,0.0857594322346257,0.122448979591837
"38",8,"cluster4","CDKN2A_X_MYC",0.0555880347515452,0.065905813005581,0.0566037735849057
"39",9,"cluster4","EIF3L_X_C3",0.0234078273796805,0.0316972063857643,0.0444444444444444
"40",10,"cluster4","HSPB8_X_MTSS1",0.00455801795990118,0.0119086914387656,0.0204081632653061
"41",1,"cluster5","PLLP_X_PPIC",0.30257363666843,0.139403557888107,0.0961538461538462
"42",2,"cluster5","PLAT_X_SDR39U1",0.2429923098769,0.215608361256955,0.2
"43",3,"cluster5","SLC7A11_X_PRKAR1A",0.10928900537669,0.125105352243577,0.111111111111111
"44",4,"cluster5","RSRP1_X_FSCN1",0.104698878848737,0.129010332312512,0.127659574468085
"45",5,"cluster5","TRIB2_X_NMB",0.0757805907135974,0.152343067798231,0.152173913043478
"46",6,"cluster5","CRMP1_X_NOTCH2NLA",0.0571479982478052,0.10230164615215,0.113207547169811
"47",7,"cluster5","PBXIP1_X_YWHAE",0.0145710616357611,0.0304694858603946,0.0816326530612245
"48",8,"cluster5","METTL7A_X_BEX1",0.0110367072200702,0.0237902239869407,0.0434782608695652
"49",9,"cluster5","AGAP1_X_GOLGA8N",0.0102418538227741,0.0534317304282192,0.0526315789473684
"50",10,"cluster5","CSRP2_X_MARCKSL1",0.00773410948100997,0.0108038927837092,0.0204081632653061
