"","Top10","Cluster","Feature","MedGain","MedCover","MedFreq"
"1",1,"cluster1","CST3_X_GFAP",0.168590174097912,0.0728623564350872,0.025708635464733
"2",2,"cluster1","ENO2_X_METTL3",0.112515205722482,0.114715203065964,0.142857142857143
"3",3,"cluster1","TACC2_X_PLPPR1",0.107420802316761,0.0851408857110571,0.0952380952380952
"4",4,"cluster1","C1orf115_X_FAM110B",0.0762631635504324,0.107771599701992,0.0952380952380952
"5",5,"cluster1","ADGRL3_X_TRIO",0.0623492878693683,0.0954529731335709,0.0731707317073171
"6",6,"cluster1","GAP43_X_SLC4A4",0.0520917816922458,0.091458547852865,0.0652173913043478
"7",7,"cluster1","MARCHF1_X_BCAR3",0.050881902149667,0.0272982536345404,0.0238095238095238
"8",8,"cluster1","MTARC2_X_BEND5",0.0472626888756921,0.0936443200612083,0.135135135135135
"9",9,"cluster1","REEP1_X_ASAP2",0.0399566836906721,0.0593320755053099,0.0697674418604651
"10",10,"cluster1","DCX_X_TNFSF10",0.0282365474535549,0.020361606557973,0.025708635464733
"11",1,"cluster2","RTN3_X_BNIP3",0.294642497818045,0.241678839860541,0.259259259259259
"12",2,"cluster2","MAFF_X_GOLPH3",0.206046949342009,0.178388646884882,0.0967741935483871
"13",3,"cluster2","IFRD1_X_TM9SF2",0.115674727342829,0.0925219694876837,0.09375
"14",4,"cluster2","ZNF274_X_GDI2",0.0761855471394008,0.0284387044764362,0.037037037037037
"15",5,"cluster2","DNAJB1_X_PPP1CA",0.0626574714422896,0.0961011410861441,0.0714285714285714
"16",6,"cluster2","TMED2_X_RNASE4",0.0436698641387024,0.0391763645165283,0.0384615384615385
"17",7,"cluster2","EEF1D_X_FAM162A",0.0320103698439825,0.0393666844354114,0.0625
"18",8,"cluster2","EIF4B_X_GBE1",0.0283600758145195,0.042980925452211,0.037037037037037
"19",9,"cluster2","PGM1_X_BANF1",0.0253124400973858,0.0303347059105268,0.0645161290322581
"20",10,"cluster2","CEBPD_X_CD74",0.0219668173710635,0.0360071501723163,0.0537135278514589
"21",1,"cluster3","RBP1_X_BMP2",0.580329285458688,0.584030461638443,0.368421052631579
"22",2,"cluster3","SCN3A_X_DYNLT3",0.106434779013053,0.0598661015907034,0.102631578947368
"23",3,"cluster3","EMP3_X_EPHB1",0.0654592239038498,0.106883684693268,0.111111111111111
"24",4,"cluster3","SEC61G_X_ZEB1",0.0602510396588714,0.099081992454436,0.0555555555555556
"25",5,"cluster3","PDPN_X_SH3GL2",0.049279798451098,0.0696452768450202,0.0526315789473684
"26",6,"cluster3","C1QL1_X_FABP5",0.0394286304808049,0.0179633284474966,0.0555555555555556
"27",7,"cluster3","PLP2_X_PDE8B",0.0358444052015738,0.0557332449225367,0.0555555555555556
"28",8,"cluster3","MAOB_X_TNR",0.0287944875201167,0.0195423251106775,0.0555555555555556
"29",9,"cluster3","PDGFRA_X_TIMP1",0.0269295360865143,0.0184007876242804,0.0526315789473684
"30",10,"cluster3","CD24_X_LGALS3",0.0232618340939415,0.0268854572908974,0.0789473684210526
"31",1,"cluster4","C21orf62_X_SEMA5A",0.385728188219973,0.262617176681278,0.133333333333333
"32",2,"cluster4","CHD7_X_FAM189A2",0.146957154857124,0.126236945961934,0.111263736263736
"33",3,"cluster4","TRIB3_X_EFHC2",0.119864398234856,0.145930879656363,0.0848484848484848
"34",4,"cluster4","DUSP6_X_BBOX1",0.0850309672355887,0.065920423143201,0.103571428571429
"35",5,"cluster4","PLEKHA5_X_WASF1",0.082407227890967,0.0671957337951364,0.121212121212121
"36",6,"cluster4","ECM2_X_TRIB2",0.0546690343975815,0.0315276914725424,0.04
"37",7,"cluster4","PHLDA1_X_IL13RA2",0.0539002739120938,0.0789881259541236,0.099025974025974
"38",8,"cluster4","MYBPC1_X_UQCRB",0.0537670168340654,0.075016366539046,0.0811688311688312
"39",9,"cluster4","CISD1_X_LMO3",0.0515267850805762,0.0609957838595104,0.0909090909090909
"40",10,"cluster4","PDZD2_X_NR2E1",0.041866396733582,0.0490709768285283,0.0714285714285714
"41",1,"cluster5","STK32B_X_LGR4",0.165057749226868,0.149768591208345,0.0967741935483871
"42",2,"cluster5","FGF14_X_SPPL2B",0.0961863494775206,0.0677131006469299,0.0526680526680527
"43",3,"cluster5","GULP1_X_CA10",0.0648472234661131,0.104434319777015,0.125
"44",4,"cluster5","OPCML_X_SLCO1C1",0.0628817744797775,0.0464531385207641,0.0285714285714286
"45",5,"cluster5","FSCN1_X_CDYL",0.059470095308286,0.0830145918534886,0.114285714285714
"46",6,"cluster5","YAP1_X_CHST11",0.0551884757851805,0.0550288145488577,0.0540540540540541
"47",7,"cluster5","ADD3_X_APOD",0.0520914276029689,0.112042226092402,0.0833976833976834
"48",8,"cluster5","MAP3K5_X_ELMO1",0.05038694456135,0.0408549072270027,0.0540540540540541
"49",9,"cluster5","EEF1A2_X_PHYH",0.049048171012548,0.0835638649465288,0.0810810810810811
"50",10,"cluster5","MCAM_X_GOLGA8N",0.0400568223942754,0.0632933483300047,0.0945945945945946
