"","Top10","Cluster","Feature","MedGain","MedCover","MedFreq"
"1",1,"cluster1","GAS7_X_SOCS2",0.159546315932611,0.151088619186056,0.125
"2",2,"cluster1","CS_X_ARGLU1",0.130960089260795,0.116907161879869,0.0967741935483871
"3",3,"cluster1","PIP4K2A_X_TIA1",0.120113393059279,0.0637228227722401,0.0447761194029851
"4",4,"cluster1","BIN1_X_NR2F2",0.102726384428545,0.10954791643337,0.1
"5",5,"cluster1","JAG1_X_ENO1",0.0836378674777787,0.129244120796839,0.142857142857143
"6",6,"cluster1","ITPKB_X_RSRP1",0.0744441394509365,0.111653688785775,0.0857142857142857
"7",7,"cluster1","PNISR_X_EFHD1",0.0729518128562072,0.116662491786652,0.164705882352941
"8",8,"cluster1","LYPLA1_X_CSRP1",0.0482109455078088,0.0871584338683941,0.117647058823529
"9",9,"cluster1","NOP56_X_TPP1",0.0423099093650955,0.0481475207174645,0.0625
"10",10,"cluster1","COX6B1_X_MAP1B",0.0330701402753037,0.0423403363250994,0.0542986425339367
"11",1,"cluster2","AHCYL1_X_YBX1",0.184133585590465,0.184335042642521,0.125
"12",2,"cluster2","RCAN1_X_REEP5",0.172657283139016,0.169530300291693,0.127659574468085
"13",3,"cluster2","PIK3C2A_X_TENT5A",0.128261400758875,0.107946209329153,0.106382978723404
"14",4,"cluster2","PHF11_X_TPM4",0.125278384818288,0.134621783824395,0.127659574468085
"15",5,"cluster2","DNAJB1_X_GOLGA8N",0.0920484141798315,0.123480535947651,0.117021276595745
"16",6,"cluster2","TOB1_X_GLIPR1",0.0517078813575148,0.106825297781563,0.116504854368932
"17",7,"cluster2","PRSS23_X_PBXIP1",0.0404675458243369,0.0827716458465641,0.0641025641025641
"18",8,"cluster2","ANKRD46_X_SERPINH1",0.0384356908781586,0.0726204713004453,0.114583333333333
"19",9,"cluster2","NIPSNAP2_X_TGFBI",0.0170203364627863,0.0415777855926219,0.0638297872340425
"20",10,"cluster2","ADD3_X_CAV1",0.0068778978324977,0.0170691931321827,0.0388349514563107
"21",1,"cluster3","IFI27_X_PDE4B",0.229512044866061,0.19420765546796,0.152173913043478
"22",2,"cluster3","DAAM2_X_TM4SF1",0.222639373814587,0.220826351273527,0.171875
"23",3,"cluster3","HERC6_X_SLC2A3",0.14557447434659,0.133518009375035,0.116900858704137
"24",4,"cluster3","COL6A1_X_SORL1",0.0595790006992783,0.101317862514937,0.113207547169811
"25",5,"cluster3","NDRG1_X_EFHD1",0.0527563349029546,0.068107256261457,0.108695652173913
"26",6,"cluster3","ACTA2_X_EZR",0.0409197728228602,0.048724440495727,0.0566037735849057
"27",7,"cluster3","CDKN2C_X_VEGFA",0.0389069771687619,0.091114524800891,0.0925925925925926
"28",8,"cluster3","LGALS3_X_PON2",0.025652467497352,0.0439173724011708,0.0769230769230769
"29",9,"cluster3","ADM_X_MX1",0.0151248614071176,0.0588046516604218,0.106382978723404
"30",10,"cluster3","IFI6_X_IGFBP3",0.0103383030361426,0.0298685939748645,0.0425531914893617
"31",1,"cluster4","MRPS17_X_PSMB5",0.172964786184136,0.143675471207217,0.110951599671862
"32",2,"cluster4","UBE2D4_X_YWHAZ",0.154473468574863,0.234549027326938,0.16
"33",3,"cluster4","GNG5_X_PFDN5",0.133699365410215,0.109110224586653,0.0625
"34",4,"cluster4","LSM7_X_PSMF1",0.0930883977026595,0.111877408404069,0.119047619047619
"35",5,"cluster4","C11orf58_X_SLC39A14",0.0914985278399991,0.131935072426273,0.176470588235294
"36",6,"cluster4","CMC4_X_CLDND1",0.0672298247156514,0.0796166045981517,0.0966386554621849
"37",7,"cluster4","GDI2_X_LMAN2L",0.0534577770313857,0.0553912560636061,0.0566037735849057
"38",8,"cluster4","RPL11_X_MRPL57",0.0363776712931745,0.0736588988150876,0.0784313725490196
"39",9,"cluster4","HNRNPC_X_ITGB5",0.0139323514964572,0.0353483204670516,0.0816666666666667
"40",10,"cluster4","ALDH3A2_X_SRGN",0.0122091786955886,0.0310905318192565,0.0600596125186289
"41",1,"cluster5","TGFBI_X_VSNL1",0.43357560499094,0.223661877262384,0.151515151515152
"42",2,"cluster5","EIF4EBP1_X_CA11",0.250199581521696,0.171023556843512,0.0952380952380952
"43",3,"cluster5","PLIN2_X_SNCA",0.103638538475105,0.182639224651895,0.205128205128205
"44",4,"cluster5","UBE2C_X_SERPINI1",0.0723603632604695,0.106610868554218,0.108424908424908
"45",5,"cluster5","GLS_X_CENPU",0.0376017005133012,0.142591287869796,0.153846153846154
"46",6,"cluster5","NRGN_X_PRC1",0.0307152644141719,0.0525989898526508,0.0769230769230769
"47",7,"cluster5","RALA_X_RGS4",0.0204386252885358,0.053097832186616,0.125
"48",8,"cluster5","CHN1_X_COL1A2",0.0192155585746361,0.0388561054718684,0.0540540540540541
"49",9,"cluster5","BRINP1_X_MCM2",0.00819820368975569,0.0320202410292072,0.0423280423280423
"50",10,"cluster5",NA,NA,NA,NA
