Label,Accuracy,Sensitivity,Specificity,Precision,F1
cluster1,0.845454545,0.815789474,0.950549451,0.775,0.794871795
cluster2,0.845454545,0.917647059,0.918518519,0.876404494,0.896551724
cluster3,0.845454545,0.685714286,0.978378378,0.857142857,0.761904762
cluster4,0.845454545,0.846153846,0.989690722,0.916666667,0.88
cluster5,0.845454545,0.861111111,0.956521739,0.794871795,0.826666667
Average,0.845454545,0.825283155,0.958731762,0.844017163,0.831998989
,,,,,
,,,,,
,,,,,
          True,,,,,
Pred       cluster1 cluster2 cluster3 cluster4 cluster5,,,,,
  cluster1       31        4        1        2        2,,,,,
  cluster2        3       78        5        2        1,,,,,
  cluster3        2        0       24        0        2,,,,,
  cluster4        1        0        1       22        0,,,,,
  cluster5        1        3        4        0       31,,,,,
