"","Top10","Cluster","Feature","MedGain","MedCover","MedFreq"
"1",1,"cluster1","CST3_X_GFAP",0.372270302464874,0.120156469510796,0.0465116279069767
"2",2,"cluster1","GAP43_X_SLC4A4",0.149604351074508,0.214795309048056,0.204545454545455
"3",3,"cluster1","INSM1_X_XAF1",0.0799754026736985,0.112828868762398,0.136363636363636
"4",4,"cluster1","DCX_X_TNFSF10",0.071606020199736,0.0658318390474466,0.0774016923842708
"5",5,"cluster1","SPRY1_X_CRMP1",0.0708398788504558,0.103653581448057,0.13953488372093
"6",6,"cluster1","ACSL3_X_RAP2A",0.0673179631005357,0.087076860270111,0.0697674418604651
"7",7,"cluster1","TACC2_X_PLPPR1",0.0609565233774023,0.0768510937445299,0.0681818181818182
"8",8,"cluster1","REEP1_X_ASAP2",0.0589464703167948,0.109092095570361,0.13953488372093
"9",9,"cluster1","VAV3_X_C1QL1",0.0539523710915941,0.0709443636278642,0.0573467230443975
"10",10,"cluster1","TCEAL2_X_FGFR3",0.036909493101701,0.0857242276715562,0.0930232558139535
"11",1,"cluster2","RTN3_X_BNIP3",0.439258268598927,0.34872144941596,0.344827586206897
"12",2,"cluster2","ZNF274_X_GDI2",0.180279900635701,0.101097267290051,0.129032258064516
"13",3,"cluster2","MAFF_X_GOLPH3",0.165538571850979,0.150914456756315,0.09375
"14",4,"cluster2","IFRD1_X_TM9SF2",0.105626364243329,0.144416106897925,0.161290322580645
"15",5,"cluster2","DNAJB1_X_PPP1CA",0.0362294496100088,0.0811695699515298,0.0967741935483871
"16",6,"cluster2","TMED2_X_RNASE4",0.0221321915139305,0.0676079518027435,0.107142857142857
"17",7,"cluster2","HILPDA_X_APLP2",0.0156219307101984,0.0430967467999756,0.063508064516129
"18",8,"cluster2","RPS25_X_VEGFA",0.00658422148928076,0.0186724714064267,0.0345238095238095
"19",9,"cluster2","MRFAP1L1_X_TMEM45A",0.00477885056419367,0.0250665962318188,0.032258064516129
"20",10,"cluster2",NA,NA,NA,NA
"21",1,"cluster3","RBP1_X_BMP2",0.640514646073537,0.589754769978881,0.434782608695652
"22",2,"cluster3","SCN3A_X_DYNLT3",0.180702739591016,0.243139828519638,0.260869565217391
"23",3,"cluster3","MAOB_X_TNR",0.123993146829341,0.0457035306603117,0.0930735930735931
"24",4,"cluster3","PDPN_X_SH3GL2",0.0662501899250024,0.08044078677664,0.136363636363636
"25",5,"cluster3","CD24_X_LGALS3",0.0319818141856129,0.0356744800733542,0.0909090909090909
"26",6,"cluster3","CHI3L1_X_BCAN",0.0313380077115998,0.0208702709653228,0.0454545454545455
"27",7,"cluster3","PDGFRA_X_TIMP1",0.0240669876037026,0.0183754072172376,0.0454545454545455
"28",8,"cluster3","DLL3_X_NNMT",0.0162651063845958,0.0324626834031717,0.0869565217391304
"29",9,"cluster3","C1QL1_X_FABP5",0.0146289973876872,0.0228944519297351,0.0454545454545455
"30",10,"cluster3","MT1M_X_FERMT1",0.0112267981325965,0.0337776955822275,0.0909090909090909
"31",1,"cluster4","C21orf62_X_SEMA5A",0.404405673459404,0.326969325988983,0.185185185185185
"32",2,"cluster4","PLEKHA5_X_WASF1",0.175034394888197,0.202640199495341,0.25
"33",3,"cluster4","DUSP6_X_BBOX1",0.100880046093259,0.0848831658089339,0.116161616161616
"34",4,"cluster4","COL9A3_X_IGSF1",0.0900900897688381,0.0995345107141964,0.0504807692307692
"35",5,"cluster4","PHLDA1_X_IL13RA2",0.0843664079277046,0.150208246760667,0.209001782531194
"36",6,"cluster4","ECM2_X_TRIB2",0.0783507999354434,0.0673736031779051,0.032258064516129
"37",7,"cluster4","MTHFD2_X_VCAM1",0.0505121564581117,0.0855142452404131,0.11437908496732
"38",8,"cluster4","MAOB_X_ATF4",0.0424018928967281,0.0407959702194172,0.0801282051282051
"39",9,"cluster4","LRRTM2_X_ETNPPL",0.0133386332625605,0.0277915001806781,0.0489583333333333
"40",10,"cluster4","TM4SF1_X_RARRES2",0.00443301136153176,0.0286114539081091,0.032258064516129
"41",1,"cluster5","GULP1_X_CA10",0.401791148097473,0.239059907920196,0.181818181818182
"42",2,"cluster5","ADD3_X_APOD",0.140540365238708,0.212446461463757,0.210526315789474
"43",3,"cluster5","EPB41L3_X_MYO5C",0.128742785033346,0.141181179347058,0.127659574468085
"44",4,"cluster5","GAS2L1_X_THY1",0.108762608714782,0.111665346427494,0.119047619047619
"45",5,"cluster5","PLLP_X_OFD1",0.0721279741517925,0.127330243216091,0.155555555555556
"46",6,"cluster5","EEF1A2_X_PHYH",0.0566136698440771,0.0709800443665639,0.111111111111111
"47",7,"cluster5","SOX10_X_SPSB3",0.0481245709681508,0.0541423311157401,0.0238095238095238
"48",8,"cluster5","B4GAT1_X_RUFY3",0.00860257666219704,0.0357948098560629,0.0652173913043478
"49",9,"cluster5","ZNF721_X_PLPPR1",0.00658253066665162,0.0224226484628546,0.0440038684719536
"50",10,"cluster5","PPIC_X_PRKAR1A",0.00415191798655999,0.0146442647751765,0.0222222222222222
