"","Top10","Cluster","Feature","MedGain","MedCover","MedFreq"
"1",1,"cluster1","PDZD2_X_APLP1",0.132548363698501,0.152063975224196,0.148148148148148
"2",2,"cluster1","NACC2_X_SOCS2",0.12392680053105,0.107387169437589,0.116883116883117
"3",3,"cluster1","MAN1C1_X_TNFAIP6",0.121686078294446,0.118783498220729,0.144736842105263
"4",4,"cluster1","ARGLU1_X_RTN1",0.116216030631779,0.150008051740228,0.111111111111111
"5",5,"cluster1","COL16A1_X_NFASC",0.10598514839854,0.0830555394526803,0.0657894736842105
"6",6,"cluster1","MPPED2_X_GABBR2",0.0828586672443936,0.105480877095183,0.12
"7",7,"cluster1","JAG1_X_DKK3",0.0784681222744358,0.0841007445126104,0.105263157894737
"8",8,"cluster1","TCEAL2_X_AHR",0.0492790903142163,0.0735486756982824,0.0571475089547379
"9",9,"cluster1","RCAN2_X_PHLDA2",0.0439403717082344,0.0458991338175299,0.0649350649350649
"10",10,"cluster1","NEBL_X_POSTN",0.0324253938830657,0.0730525111283149,0.0684931506849315
"11",1,"cluster2","IFIT1_X_LOXL2",0.222567038665109,0.183997550358563,0.12962962962963
"12",2,"cluster2","COL5A2_X_BBOX1",0.211537036802683,0.0901492945414629,0.0648148148148148
"13",3,"cluster2","LMO3_X_GFPT2",0.126545306362953,0.145344719212888,0.123595505617978
"14",4,"cluster2","COL1A1_X_SLC7A11",0.108872528990239,0.115024446211465,0.107142857142857
"15",5,"cluster2","INSM1_X_ETNPPL",0.0814836309939086,0.116698866821338,0.130952380952381
"16",6,"cluster2","RCAN1_X_ATP1A2",0.0684303778340099,0.095278622125171,0.111111111111111
"17",7,"cluster2","FGFR3_X_SERPINE1",0.0564490709528516,0.0830298783265429,0.12962962962963
"18",8,"cluster2","ADD3_X_CAV1",0.0549628190740571,0.0892334538915671,0.101851851851852
"19",9,"cluster2","LAMB1_X_MYBPC1",0.0191160632629779,0.0496801986487093,0.0648148148148148
"20",10,"cluster2","CA12_X_PDE4DIP",0.00846843020032783,0.033537861820263,0.0476190476190476
"21",1,"cluster3","CDKN2C_X_VEGFA",0.280140762384395,0.154640210799645,0.114285714285714
"22",2,"cluster3","NTRK2_X_HOPX",0.132037043700255,0.12780773299216,0.133333333333333
"23",3,"cluster3","CDO1_X_IGFBP3",0.112854850404733,0.102812464865856,0.128205128205128
"24",4,"cluster3","JAG1_X_ISG15",0.102132087158874,0.127734331744208,0.112903225806452
"25",5,"cluster3","CDKN2A_X_POSTN",0.0972274865986161,0.110901957224623,0.0857142857142857
"26",6,"cluster3","ADM_X_VCAM1",0.0687075418894013,0.0982786660806642,0.121212121212121
"27",7,"cluster3","IFI44L_X_CXCL8",0.0576935880570546,0.0688239827670633,0.0823529411764706
"28",8,"cluster3","COL3A1_X_DAAM2",0.0527736013471381,0.0850297545961884,0.0760869565217391
"29",9,"cluster3","SPRY1_X_ETNPPL",0.0368633496127623,0.038666511783996,0.0571428571428571
"30",10,"cluster3","IFI27_X_IGFBP2",0.0333210705876087,0.0470667117566768,0.0921052631578947
"31",1,"cluster4","HNRNPC_X_PDE4DIP",0.194564943679122,0.238912558426748,0.120689655172414
"32",2,"cluster4","ZNF710.AS1_X_MOXD1",0.145586265756681,0.0835320414958674,0.0961538461538462
"33",3,"cluster4","GDI2_X_IL13RA2",0.137160341096202,0.150705205611066,0.153846153846154
"34",4,"cluster4","PDGFA_X_CLDND1",0.133110034991801,0.0895385676437894,0.155172413793103
"35",5,"cluster4","UBE2D4_X_YWHAZ",0.121558407019895,0.0991411719133672,0.0384615384615385
"36",6,"cluster4","TMED2_X_HOXA5",0.0740152455410568,0.106303428440142,0.0961538461538462
"37",7,"cluster4","C11orf58_X_SLC39A14",0.0708903265043091,0.104086173045789,0.132075471698113
"38",8,"cluster4","EGFR_X_RPL11",0.0535883146253914,0.0693197651788431,0.11864406779661
"39",9,"cluster4","DEPP1_X_ID1",0.0496118153782619,0.0688368314103935,0.0970965309200603
"40",10,"cluster4",NA,NA,NA,NA
"41",1,"cluster5","CENPF_X_NRGN",0.169893970974888,0.116178535965597,0.0571428571428571
"42",2,"cluster5","SERPINI1_X_RRM2",0.169530964854626,0.174331444307889,0.15
"43",3,"cluster5","CCK_X_MELK",0.122283388399251,0.140638832561606,0.105263157894737
"44",4,"cluster5","CRYM_X_PBK",0.0614643054019759,0.120625813327091,0.1
"45",5,"cluster5","COL1A2_X_SNAP25",0.0603782389236892,0.0762956710200565,0.128205128205128
"46",6,"cluster5","TGFBI_X_VSNL1",0.0583824588977309,0.0967330204058265,0.0882352941176471
"47",7,"cluster5","KCNK1_X_TMEM45A",0.0370445447501899,0.13385195250857,0.170833333333333
"48",8,"cluster5","LAMB1_X_TAC1",0.0231470867833434,0.0817770293913349,0.116666666666667
"49",9,"cluster5","OLFM1_X_TYMS",0.0125172223156899,0.0411194667427305,0.075
"50",10,"cluster5","NEFL_X_FANCI",0.00818135950950701,0.0340548213759378,0.0845238095238095
